ID,SMILES,CATEGORY
CHEMBL1626882,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7ccccc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12.[Cl-].[Cl-],PBP
CHEMBL282600,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4cc(Cl)ccc4s3)[C@H](C)[C@H]12.[Na+],PBP
CHEMBL34381,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4cc(C[n+]5ccn(C)c5)ccc4s3)C[C@H]12,PBP
CHEMBL282641,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3ncc4ccccc4n3)[C@H](C)[C@H]12.[Na+],PBP
CHEMBL501122,CCO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CS[C@H]12)c1nsc(NP(=O)(O)O)n1,PBP
CHEMBL33235,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4c(C[n+]5ccn(C)c5)csc4s3)C[C@H]12,PBP
CHEMBL1626948,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC#N)(CC5)CC6)cc3C4=O)C[C@H]12.[Cl-].[Cl-],PBP
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,PBP
CHEMBL1626956,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7cccc(C(N)=O)c7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12.[Cl-].[Cl-],PBP
CHEMBL1626969,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)N(C)c7ccccc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12.[Cl-].[Cl-],PBP
CHEMBL819,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,PBP
CHEMBL286644,COC(=O)c1csc2sc(SC3=C(C(=O)[O-])N4C(=O)[C@H]([C@@H](C)O)[C@H]4[C@H]3C)nc12.[Na+],PBP
CHEMBL430547,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4ccc([N+](=O)[O-])cc4s3)[C@H](C)[C@H]12.[Na+],PBP
CHEMBL1626919,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)NC7CCCC7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12.[Cl-].[Cl-],PBP
CHEMBL1626937,CC(=O)c1cccc(NC(=O)C[N+]23CC[N+](Cc4ccc5c(c4)C(=O)c4ccc(C6=C(C(=O)O)N7C(=O)[C@H]([C@@H](C)O)[C@H]7[C@H]6C)cc4-5)(CC2)CC3)c1.[Cl-].[Cl-],PBP
CHEMBL1626918,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)NCc7ccccc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12.[Cl-].[Cl-],PBP
CHEMBL520642,Nc1nc(/C(=N/O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(/C=C4\CCN([C@@H]5CCNC5)C4=O)CS[C@H]23)ns1,PBP
CHEMBL501122,CCO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CS[C@H]12)c1nsc(NP(=O)(O)O)n1,PBP
CHEMBL501122,CCO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CS[C@H]12)c1nsc(NP(=O)(O)O)n1,PBP
CHEMBL161,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,PBP
CHEMBL29,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,PBP
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,PBP
CHEMBL161,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,PBP
CHEMBL1730,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,PBP
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,PBP
CHEMBL348278,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(CN3C(=O)c4cccc5cccc(c45)C3=O)[C@H](C)[C@H]12.[Na+],PBP
CHEMBL33296,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4ccccc4)cs3)C[C@H]12.[Na+],PBP
CHEMBL520642,Nc1nc(/C(=N/O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(/C=C4\CCN([C@@H]5CCNC5)C4=O)CS[C@H]23)ns1,PBP
CHEMBL1626901,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7ccccn7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12.[Cl-].[Cl-],PBP
CHEMBL1626940,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CCO)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12.[Cl-].[Cl-],PBP
CHEMBL1626970,CNC(=O)C[N+]12CC[N+](Cc3ccc4c(c3)C(=O)c3ccc(C5=C(C(=O)O)N6C(=O)[C@H]([C@@H](C)O)[C@H]6[C@H]5C)cc3-4)(CC1)CC2.[Cl-].[Cl-],PBP
CHEMBL161482,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(CN3C(=O)c4cccc5cccc(c45)S3(=O)=O)[C@H](C)[C@H]12.[Na+],PBP
CHEMBL287661,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4ccccc4s3)[C@H](C)[C@H]12.[Na+],PBP
CHEMBL1626953,COc1ccc(NC(=O)C[N+]23CC[N+](Cc4ccc5c(c4)C(=O)c4ccc(C6=C(C(=O)O)N7C(=O)[C@H]([C@@H](C)O)[C@H]7[C@H]6C)cc4-5)(CC2)CC3)cc1.[Cl-].[Cl-],PBP
CHEMBL161,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,PBP
CHEMBL44354,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,PBP
CHEMBL1626935,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)NC(C)(C)C)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12.[Cl-].[Cl-],PBP
CHEMBL29,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,PBP
CHEMBL287558,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc4cc(Cl)ccc4s3)C[C@H]12.[Na+],PBP
CHEMBL520642,Nc1nc(/C(=N/O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(/C=C4\CCN([C@@H]5CCNC5)C4=O)CS[C@H]23)ns1,PBP
CHEMBL351921,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(CN3C(=O)c4c(ccc5ccccc45)S3(=O)=O)[C@H](C)[C@H]12.[Na+],PBP
CHEMBL4524290,N#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2cc(C(=O)O)ccc2F)cc1,PBP
CHEMBL1626914,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7cccc(C#N)c7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12.[Cl-].[Cl-],PBP
CHEMBL284293,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(Sc3cc4ccccc4s3)[C@H](C)[C@H]12.[Na+],PBP
CHEMBL1626960,CCC[N+]12CC[N+](Cc3ccc4c(c3)C(=O)c3ccc(C5=C(C(=O)O)N6C(=O)[C@H]([C@@H](C)O)[C@H]6[C@H]5C)cc3-4)(CC1)CC2.[Cl-].[Cl-],PBP
CHEMBL1626946,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)N(C)C)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12.[Cl-].[Cl-],PBP
CHEMBL1626903,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CCOc7ccccc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12.[Cl-].[Cl-],PBP
CHEMBL422426,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3ccc4c(c3)-c3ccc(C[n+]5ccn(C)c5)cc3C4=O)C[C@H]12,PBP
CHEMBL1626971,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7ccncc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12.[Cl-].[Cl-],PBP
CHEMBL1626955,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](C)(CC5)CC6)cc3C4=O)C[C@H]12.[Cl-].[Cl-],PBP
CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,PBP
CHEMBL1626890,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](C)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12.[Cl-].[Cl-],PBP
CHEMBL1626947,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)Nc7ccccc7)(CC5)CC6)cc3C4=O)C[C@H]12.[Cl-].[Cl-],PBP
CHEMBL284058,CCOc1ccc2nc(SC3=C(C(=O)[O-])N4C(=O)[C@H]([C@@H](C)O)[C@H]4[C@H]3C)sc2c1.[Na+],PBP
CHEMBL1626905,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CCCC(N)=O)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12.[Cl-].[Cl-],PBP
CHEMBL1626906,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](Cc7ccccc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12.[Cl-].[Cl-],PBP
CHEMBL1626949,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(=O)c7ccccc7)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12.[Cl-].[Cl-],PBP
CHEMBL159153,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(CN3Cc4cccc5cccc(c45)S3(=O)=O)[C@H](C)[C@H]12.[Na+],PBP
CHEMBL161595,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(CN3C(=O)c4cccc5cccc3c45)[C@H](C)[C@H]12.[Na+],PBP
